"estadual_id","estadual_nome","estado","nivel","ano_referencia","time_id"
"goiano_1","Campeonato Goiano","GO",1,2026,"atletico_goianiense"
"goiano_1","Campeonato Goiano","GO",1,2026,"aparecidense"
"goiano_1","Campeonato Goiano","GO",1,2026,"anapolina"
"goiano_1","Campeonato Goiano","GO",1,2026,"abecat"
"goiano_1","Campeonato Goiano","GO",1,2026,"centro_oeste_go"
"goiano_1","Campeonato Goiano","GO",1,2026,"anapolis_fc"
"goiano_1","Campeonato Goiano","GO",1,2026,"crac"
"goiano_1","Campeonato Goiano","GO",1,2026,"goiatuba"
"goiano_1","Campeonato Goiano","GO",1,2026,"inhumas"
"goiano_1","Campeonato Goiano","GO",1,2026,"jataiense"
"maranhense_1","Campeonato Maranhense","MA",1,2026,"mac"
"maranhense_1","Campeonato Maranhense","MA",1,2026,"imperatriz"
"maranhense_1","Campeonato Maranhense","MA",1,2026,"iape"
"maranhense_1","Campeonato Maranhense","MA",1,2026,"sampaio_correa_ma"
"maranhense_1","Campeonato Maranhense","MA",1,2026,"moto_club"
"maranhense_1","Campeonato Maranhense","MA",1,2026,"tuntum"
"maranhense_1","Campeonato Maranhense","MA",1,2026,"luminense_ma"
"maranhense_1","Campeonato Maranhense","MA",1,2026,"itz_sport"
"matogrossense_1","Campeonato Matogrossense","MT",1,2026,"cuiaba"
"matogrossense_1","Campeonato Matogrossense","MT",1,2026,"operario_vg"
"matogrossense_1","Campeonato Matogrossense","MT",1,2026,"varzea_grande_ec"
"matogrossense_1","Campeonato Matogrossense","MT",1,2026,"luverdense"
"matogrossense_1","Campeonato Matogrossense","MT",1,2026,"mixto"
"matogrossense_1","Campeonato Matogrossense","MT",1,2026,"nova_mutum"
"matogrossense_1","Campeonato Matogrossense","MT",1,2026,"sport_sinop"
"matogrossense_1","Campeonato Matogrossense","MT",1,2026,"primavera_ac"
"matogrossense_1","Campeonato Matogrossense","MT",1,2026,"uniao_rondonopolis"
"matogrossense_1","Campeonato Matogrossense","MT",1,2026,"chapada_fc"
"mineiro_modulo_1","Campeonato Mineiro - Módulo I","MG",1,2026,"cruzeiro"
"mineiro_modulo_1","Campeonato Mineiro - Módulo I","MG",1,2026,"atletico_mg"
"mineiro_modulo_1","Campeonato Mineiro - Módulo I","MG",1,2026,"america_mg"
"mineiro_modulo_1","Campeonato Mineiro - Módulo I","MG",1,2026,"urt"
"mineiro_modulo_1","Campeonato Mineiro - Módulo I","MG",1,2026,"uberlandia_ec"
"mineiro_modulo_1","Campeonato Mineiro - Módulo I","MG",1,2026,"democrata_gv"
"mineiro_modulo_1","Campeonato Mineiro - Módulo I","MG",1,2026,"pouso_alegre"
"mineiro_modulo_1","Campeonato Mineiro - Módulo I","MG",1,2026,"tombense"
"mineiro_modulo_1","Campeonato Mineiro - Módulo I","MG",1,2026,"betim_fc"
"mineiro_modulo_1","Campeonato Mineiro - Módulo I","MG",1,2026,"north_ec"
"mineiro_modulo_1","Campeonato Mineiro - Módulo I","MG",1,2026,"itabirito"
"mineiro_modulo_1","Campeonato Mineiro - Módulo I","MG",1,2026,"athletic_club_mg"
"mineiro_modulo_2","Campeonato Mineiro - Módulo II","MG",2,2026,"boa_esporte"
"mineiro_modulo_2","Campeonato Mineiro - Módulo II","MG",2,2026,"patrocinense"
"mineiro_modulo_2","Campeonato Mineiro - Módulo II","MG",2,2026,"caldense"
"mineiro_modulo_2","Campeonato Mineiro - Módulo II","MG",2,2026,"guarani_mg"
"mineiro_modulo_2","Campeonato Mineiro - Módulo II","MG",2,2026,"mamore"
"mineiro_modulo_2","Campeonato Mineiro - Módulo II","MG",2,2026,"uberaba_sc"
"mineiro_modulo_2","Campeonato Mineiro - Módulo II","MG",2,2026,"coimbra_ec"
"mineiro_modulo_2","Campeonato Mineiro - Módulo II","MG",2,2026,"democrata_sl"
"mineiro_modulo_2","Campeonato Mineiro - Módulo II","MG",2,2026,"aymores"
"mineiro_modulo_2","Campeonato Mineiro - Módulo II","MG",2,2026,"valeriodoce"
"mineiro_modulo_2","Campeonato Mineiro - Módulo II","MG",2,2026,"villa_nova"
"mineiro_modulo_2","Campeonato Mineiro - Módulo II","MG",2,2026,"ipatinga_fc"
"paraense_1","Campeonato Paraense","PA",1,2026,"remo"
"paraense_1","Campeonato Paraense","PA",1,2026,"paysandu"
"paraense_1","Campeonato Paraense","PA",1,2026,"bragantino_pa"
"paraense_1","Campeonato Paraense","PA",1,2026,"castanhal"
"paraense_1","Campeonato Paraense","PA",1,2026,"tuna_luso"
"paraense_1","Campeonato Paraense","PA",1,2026,"aguia_de_maraba"
"paraense_1","Campeonato Paraense","PA",1,2026,"capitao_poco"
"paraense_1","Campeonato Paraense","PA",1,2026,"santa_rosa_pa"
"paraense_1","Campeonato Paraense","PA",1,2026,"cameta"
"paraense_1","Campeonato Paraense","PA",1,2026,"sao_francisco_pa"
"paraense_1","Campeonato Paraense","PA",1,2026,"sao_raimundo_pa"
"paraense_1","Campeonato Paraense","PA",1,2026,"amazonia_pa"
"paraibano_1","Campeonato Paraibano","PB",1,2026,"atletico_cajazeirense"
"paraibano_1","Campeonato Paraibano","PB",1,2026,"botafogo_pb"
"paraibano_1","Campeonato Paraibano","PB",1,2026,"campinense"
"paraibano_1","Campeonato Paraibano","PB",1,2026,"confianca_pb"
"paraibano_1","Campeonato Paraibano","PB",1,2026,"esporte_pb"
"paraibano_1","Campeonato Paraibano","PB",1,2026,"nacional_patos"
"paraibano_1","Campeonato Paraibano","PB",1,2026,"pombal"
"paraibano_1","Campeonato Paraibano","PB",1,2026,"serra_branca"
"paraibano_1","Campeonato Paraibano","PB",1,2026,"sousa"
"paraibano_1","Campeonato Paraibano","PB",1,2026,"treze"
"paranaense_1","Campeonato Paranaense","PR",1,2026,"athletico_pr"
"paranaense_1","Campeonato Paranaense","PR",1,2026,"coritiba"
"paranaense_1","Campeonato Paranaense","PR",1,2026,"londrina"
"paranaense_1","Campeonato Paranaense","PR",1,2026,"operario_ferroviario"
"paranaense_1","Campeonato Paranaense","PR",1,2026,"foz_do_iguacu"
"paranaense_1","Campeonato Paranaense","PR",1,2026,"fc_cascavel"
"paranaense_1","Campeonato Paranaense","PR",1,2026,"cianorte"
"paranaense_1","Campeonato Paranaense","PR",1,2026,"azuriz"
"paranaense_1","Campeonato Paranaense","PR",1,2026,"sao_joseense"
"paranaense_1","Campeonato Paranaense","PR",1,2026,"maringa_fc"
"paranaense_1","Campeonato Paranaense","PR",1,2026,"andraus"
"paranaense_1","Campeonato Paranaense","PR",1,2026,"galo_maringa"
"paulistao_a1","Campeonato Paulista - Série A1","SP",1,2026,"corinthians"
"paulistao_a1","Campeonato Paulista - Série A1","SP",1,2026,"palmeiras"
"paulistao_a1","Campeonato Paulista - Série A1","SP",1,2026,"sao_paulo"
"paulistao_a1","Campeonato Paulista - Série A1","SP",1,2026,"santos"
"paulistao_a1","Campeonato Paulista - Série A1","SP",1,2026,"sao_bernardo"
"paulistao_a1","Campeonato Paulista - Série A1","SP",1,2026,"novorizontino"
"paulistao_a1","Campeonato Paulista - Série A1","SP",1,2026,"red_bull_bragantino"
"paulistao_a1","Campeonato Paulista - Série A1","SP",1,2026,"mirassol"
"paulistao_a1","Campeonato Paulista - Série A1","SP",1,2026,"guarani"
"paulistao_a1","Campeonato Paulista - Série A1","SP",1,2026,"ponte_preta"
"paulistao_a1","Campeonato Paulista - Série A1","SP",1,2026,"velo_clube"
"paulistao_a1","Campeonato Paulista - Série A1","SP",1,2026,"portuguesa"
"paulistao_a1","Campeonato Paulista - Série A1","SP",1,2026,"botafogo_sp"
"paulistao_a1","Campeonato Paulista - Série A1","SP",1,2026,"primavera"
"paulistao_a1","Campeonato Paulista - Série A1","SP",1,2026,"noroeste"
"paulistao_a1","Campeonato Paulista - Série A1","SP",1,2026,"capivariano"
"paulistao_a2","Campeonato Paulista - Série A2","SP",2,2026,"agua_santa"
"paulistao_a2","Campeonato Paulista - Série A2","SP",2,2026,"ferroviaria"
"paulistao_a2","Campeonato Paulista - Série A2","SP",2,2026,"gremio_prudente"
"paulistao_a2","Campeonato Paulista - Série A2","SP",2,2026,"inter_de_limeira"
"paulistao_a2","Campeonato Paulista - Série A2","SP",2,2026,"ituano"
